Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23.0,2003,30,25,2323,25.8,5,3,8,5,0,1,5,0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,11,fr FRA,"FW,MF",fr Ligue 1,23-031,2003,25.8,5,76,21,27.6,2.94,0.81,0.07,0.24,0,1,14,fr FRA,"FW,MF",fr Ligue 1,23-031,2003,30,2323,77,83.3,25.8,25,88,18,5,26,0,0.57,22,48,-26,-1.01,-1.20,11,fr FRA,"FW,MF",fr Ligue 1,23-031,2003,25.8,5,0,0,28,42,5,57,9,12,0
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000,23,22,1881,20.9,3,1,4,3,0,0,4,1,0.19,,,,,,,,,,,,,,,,,,,,,,,,,12,br BRA,"DF,MF",fr Ligue 1,25-336,2000,20.9,3,16,6,37.5,0.77,0.29,0.19,0.50,0,0,15,br BRA,"DF,MF",fr Ligue 1,25-336,2000,23,1881,82,67.4,20.9,22,85,15,1,3,2,1.91,30,17,+13,+0.62,+0.32,12,br BRA,"DF,MF",fr Ligue 1,25-336,2000,20.9,4,1,0,22,6,1,56,5,18,0
13,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26.0,2000,15,6,511,5.7,0,0,0,0,0,0,4,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,13,ma MAR,MF,it Serie A,26-069,2000,5.7,0,7,2,28.6,1.23,0.35,0.00,0.00,0,0,16,ma MAR,MF,it Serie A,26-069,2000,15,511,34,16.7,5.7,6,59,0,9,18,5,0.53,2,11,-9,-1.59,-1.30,13,ma MAR,MF,it Serie A,26-069,2000,5.7,4,0,0,12,11,7,18,1,12,0
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27.0,1999,19,14,1166,13.0,0,2,2,0,0,0,8,1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,14,ma MAR,DF,es La Liga,27-049,1999,13.0,0,7,1,14.3,0.54,0.08,0.00,0.00,0,0,17,ma MAR,DF,es La Liga,27-049,1999,19,1166,61,39.3,13.0,14,74,5,5,27,0,1.21,14,12,+2,+0.15,+0.55,14,ma MAR,DF,es La Liga,27-049,1999,13.0,8,1,0,24,32,1,2,18,16,0
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28.0,1997,11,1,227,2.5,2,0,2,2,0,0,0,0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,15,eng ENG,FW,eng Premier League,28-208,1997,2.5,2,9,3,33.3,3.57,1.19,0.22,0.67,0,0,18,eng ENG,FW,eng Premier League,28-208,1997,11,227,21,7.4,2.5,1,90,1,10,14,0,1.09,4,6,-2,-0.79,-1.02,15,eng ENG,FW,eng Premier League,28-208,1997,2.5,0,0,0,1,0,0,0,0,1,0
16,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,25.0,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,16,gh GHA,MF,fr Ligue 1,25-001,2001,5.8,0,6,0,0.0,1.03,0.00,0.00,,0,0,20,gh GHA,MF,fr Ligue 1,25-001,2001,8,526,66,18.9,5.8,7,69,1,1,45,1,1.13,10,7,+3,+0.51,+0.67,16,gh GHA,MF,fr Ligue 1,25-001,2001,5.8,2,0,0,5,4,0,0,8,12,0
17,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,23.0,2003,20,5,556,6.2,2,0,2,2,0,0,1,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,17,ge GEO,"MF,FW",fr Ligue 1,23-079,2003,6.2,2,17,7,41.2,2.75,1.13,0.12,0.29,0,0,21,ge GEO,"MF,FW",fr Ligue 1,23-079,2003,20,556,28,19.9,6.2,5,62,0,15,17,9,0.55,8,16,-8,-1.29,-0.05,17,ge GEO,"MF,FW",fr Ligue 1,23-079,2003,6.2,1,0,0,6,9,1,29,3,7,0
18,Mathieu Acapandié,mg MAD,DF,Nantes,fr Ligue 1,21.0,2004,4,1,106,1.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,18,mg MAD,DF,fr Ligue 1,21-135,2004,1.2,0,0,0,,0.00,0.00,,,0,0,22,mg MAD,DF,fr Ligue 1,21-135,2004,4,106,27,3.8,1.2,1,78,0,3,9,1,0.25,0,6,-6,-5.09,-4.46,18,mg MAD,DF,fr Ligue 1,21-135,2004,1.2,0,0,0,1,0,0,6,1,0,0
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,38.0,1988,16,13,1198,13.3,0,1,1,0,0,0,3,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,19,it ITA,DF,it Serie A,38-077,1988,13.3,0,3,1,33.3,0.23,0.08,0.00,0.00,0,0,23,it ITA,DF,it Serie A,38-077,1988,16,1198,75,39.2,13.3,13,87,10,3,22,16,2.13,30,17,+13,+0.98,-0.76,19,it ITA,DF,it Serie A,38-077,1988,13.3,3,0,0,15,12,3,2,17,9,0
20,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998,29,18,1718,19.1,7,4,11,7,0,0,3,0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,20,de GER,FW,de Bundesliga,27-274,1998,19.1,7,52,22,42.3,2.72,1.15,0.13,0.32,0,0,24,de GER,FW,de Bundesliga,27-274,1998,29,1718,59,61.6,19.1,18,78,3,11,29,0,1.03,27,38,-11,-0.58,-0.83,20,de GER,FW,de Bundesliga,27-274,1998,19.1,3,0,0,18,29,10,1,4,8,0
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19.0,2006,15,7,587,6.5,1,0,1,1,0,0,1,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,21,eng ENG,DF,eng Premier League,19-358,2006,6.5,1,3,2,66.7,0.46,0.31,0.33,0.50,0,0,25,eng ENG,DF,eng Premier League,19-358,2006,15,587,39,19.2,6.5,7,71,1,8,11,16,1.13,8,12,-4,-0.61,-1.05,21,eng ENG,DF,eng Premier League,19-358,2006,6.5,1,0,0,2,5,2,1,11,7,0
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,26.0,2000,28,19,1846,20.5,8,3,11,5,3,3,2,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,22,ng NGA,FW,es La Liga,26-089,2000,20.5,8,55,27,49.1,2.68,1.32,0.09,0.19,3,3,27,ng NGA,FW,es La Liga,26-089,2000,28,1846,66,62.2,20.5,19,85,13,9,26,0,1.07,27,37,-10,-0.49,-0.09,22,ng NGA,FW,es La Liga,26-089,2000,20.5,2,0,0,31,10,38,15,1,3,0
23,Che Adams,sct SCO,FW,Torino,it Serie A,29.0,1996,31,19,1826,20.3,5,2,7,5,0,0,0,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,23,sct SCO,FW,it Serie A,29-289,1996,20.3,5,48,14,29.2,2.37,0.69,0.10,0.36,0,0,28,sct SCO,FW,it Serie A,29-289,1996,31,1826,59,59.7,20.3,19,76,4,12,32,1,1.23,24,30,-6,-0.30,+0.51,23,sct SCO,FW,it Serie A,29-289,1996,20.3,0,0,0,17,15,9,13,1,9,0
24,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,27.0,1999,21,18,1476,16.4,2,2,4,2,0,0,7,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,24,us USA,MF,eng Premier League,27-073,1999,16.4,2,9,6,66.7,0.55,0.37,0.22,0.33,0,0,29,us USA,MF,eng Premier League,27-073,1999,21,1476,70,48.2,16.4,18,78,8,3,22,1,1.43,20,26,-6,-0.37,-0.71,24,us USA,MF,eng Premier League,27-073,1999,16.4,7,0,0,29,12,1,2,26,20,0
25,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24.0,2001,9,7,446,5.0,1,1,2,1,0,0,1,0,0.40,,,,,,,,,,,,,,,,,,,,,,,,,25,at AUT,FW,de Bundesliga,24-326,2001,5.0,1,8,3,37.5,1.61,0.61,0.13,0.33,0,0,30,at AUT,FW,de Bundesliga,24-326,2001,9,446,50,16.0,5.0,7,61,0,2,9,10,1.44,7,4,+3,+0.61,+1.03,25,at AUT,FW,de Bundesliga,24-326,2001,5.0,1,0,0,10,9,6,2,5,6,0
26,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28.0,1997,15,7,750,8.3,0,0,0,0,0,0,2,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,26,eng ENG,DF,eng Premier League,28-216,1997,8.3,0,2,0,0.0,0.24,0.00,0.00,,0,0,31,eng ENG,DF,eng Premier League,28-216,1997,15,750,50,24.5,8.3,7,85,6,8,19,11,1.53,16,12,+4,+0.48,+0.32,26,eng ENG,DF,eng Premier League,28-216,1997,8.3,2,0,0,5,0,1,0,9,6,0
27,Jayden Addai,nl NED,MF,Como,it Serie A,20.0,2005,12,7,686,7.6,3,0,3,3,0,0,4,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,27,nl NED,MF,it Serie A,20-245,2005,7.6,3,13,6,46.2,1.71,0.79,0.23,0.50,0,0,32,nl NED,MF,it Serie A,20-245,2005,12,686,57,22.4,7.6,7,75,2,5,32,6,1.25,11,6,+5,+0.66,-0.33,27,nl NED,MF,it Serie A,20-245,2005,7.6,4,0,0,13,14,2,10,2,2,0
28,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,24.0,2002,26,15,1170,13.0,7,3,10,7,0,0,5,0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,28,de GER,"MF,FW",de Bundesliga,24-100,2002,13.0,7,31,14,45.2,2.38,1.08,0.23,0.50,0,0,34,de GER,"MF,FW",de Bundesliga,24-100,2002,26,1170,45,41.9,13.0,15,69,0,11,12,1,2.23,26,13,+13,+1.00,-0.17,28,de GER,"MF,FW",de Bundesliga,24-100,2002,13.0,5,0,0,21,25,5,10,8,4,0
29,Simon Adingra,ci CIV,"MF,FW",Sunderland,eng Premier League,24.0,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,29,ci CIV,"MF,FW",eng Premier League,24-117,2002,7.3,1,6,2,33.3,0.83,0.28,0.17,0.50,0,0,35,ci CIV,"MF,FW",eng Premier League,24-117,2002,14,653,47,21.3,7.3,9,64,0,5,16,8,1.07,6,8,-2,-0.28,-0.01,29,ci CIV,"MF,FW",eng Premier League,24-117,2002,7.3,2,0,0,18,3,4,27,2,8,0
30,Simon Adingra,ci CIV,"MF,FW",Monaco,fr Ligue 1,24.0,2002,11,7,666,7.4,3,1,4,3,0,0,0,0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,30,ci CIV,"MF,FW",fr Ligue 1,24-117,2002,7.4,3,17,5,29.4,2.30,0.68,0.18,0.60,0,0,36,ci CIV,"MF,FW",fr Ligue 1,24-117,2002,11,666,61,23.9,7.4,7,80,2,4,27,0,2.18,15,10,+5,+0.68,+0.59,30,ci CIV,"MF,FW",fr Ligue 1,24-117,2002,7.4,0,0,0,4,7,2,22,5,6,0
31,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23.0,2002,12,6,583,6.5,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,31,gh GHA,DF,fr Ligue 1,23-250,2002,6.5,0,4,2,50.0,0.62,0.31,0.00,0.00,0,0,37,gh GHA,DF,fr Ligue 1,23-250,2002,12,583,49,20.9,6.5,6,90,6,6,7,11,1.67,7,9,-2,-0.31,-0.19,31,gh GHA,DF,fr Ligue 1,23-250,2002,6.5,0,0,0,3,6,0,0,6,5,1
32,Jonas Adjetey,gh GHA,DF,Wolfsburg,de Bundesliga,22.0,2003,4,1,137,1.5,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,32,gh GHA,DF,de Bundesliga,22-136,2003,1.5,0,3,0,0.0,1.97,0.00,0.00,,0,0,38,gh GHA,DF,de Bundesliga,22-136,2003,4,137,34,4.9,1.5,1,90,1,3,16,4,0.25,1,3,-2,-1.31,-0.53,32,gh GHA,DF,de Bundesliga,22-136,2003,1.5,1,0,0,4,0,0,4,1,1,0
33,Amine Adli,ma MAR,MF,Bournemouth,eng Premier League,25.0,2000,28,10,1058,11.8,3,1,4,3,0,0,2,0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,33,ma MAR,MF,eng Premier League,25-353,2000,11.8,3,20,9,45.0,1.70,0.77,0.15,0.33,0,0,39,ma MAR,MF,eng Premier League,25-353,2000,28,1058,38,34.6,11.8,10,73,2,18,18,5,1.39,18,17,+1,+0.09,+0.13,33,ma MAR,MF,eng Premier League,25-353,2000,11.8,2,0,0,26,23,4,39,5,16,0
34,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19.0,2006,10,1,171,1.9,1,0,1,1,0,0,0,0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,34,me MNE,MF,it Serie A,19-351,2006,1.9,1,6,4,66.7,3.16,2.11,0.17,0.25,0,0,41,me MNE,MF,it Serie A,19-351,2006,10,171,17,5.6,1.9,1,57,0,9,13,21,1.60,2,3,-1,-0.53,-1.43,34,me MNE,MF,it Serie A,19-351,2006,1.9,0,0,0,3,2,0,4,3,2,0
35,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,29.0,1997,32,30,2652,29.5,1,1,2,1,0,0,7,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,35,ch SUI,MF,it Serie A,29-112,1997,29.5,1,17,3,17.6,0.58,0.10,0.06,0.33,0,0,42,ch SUI,MF,it Serie A,29-112,1997,32,2652,83,86.7,29.5,30,85,23,2,45,0,0.56,21,42,-21,-0.71,+2.82,35,ch SUI,MF,it Serie A,29-112,1997,29.5,7,0,0,36,38,0,39,30,36,0
36,David Affengruber,at AUT,DF,Elche,es La Liga,25.0,2001,31,28,2532,28.1,1,1,2,1,0,0,6,1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,36,at AUT,DF,es La Liga,25-040,2001,28.1,1,11,4,36.4,0.39,0.14,0.09,0.25,0,0,43,at AUT,DF,es La Liga,25-040,2001,31,2532,82,85.3,28.1,28,87,23,3,31,0,1.16,41,43,-2,-0.07,+0.75,36,at AUT,DF,es La Liga,25-040,2001,28.1,6,1,0,29,33,2,7,45,41,0
37,Dapo Afolayan,eng ENG,MF,St Pauli,de Bundesliga,28.0,1997,7,1,150,1.7,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,37,eng ENG,MF,de Bundesliga,28-229,1997,1.7,0,4,2,50.0,2.40,1.20,0.00,0.00,0,0,44,eng ENG,MF,de Bundesliga,28-229,1997,7,150,21,5.4,1.7,1,45,0,6,18,5,0.57,1,3,-2,-1.20,-0.35,37,eng ENG,MF,de Bundesliga,28-229,1997,1.7,1,0,0,2,6,0,10,0,2,0
38,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28.0,1997,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.00,,,,,,,,,,,,,,,,,,,,,,,,,38,ci CIV,DF,eng Premier League,28-315,1997,12.2,0,10,3,30.0,0.82,0.25,0.00,0.00,0,0,45,ci CIV,DF,eng Premier League,28-315,1997,14,1101,79,36.0,12.2,12,85,11,2,38,4,0.14,6,27,-21,-1.72,-0.94,38,ci CIV,DF,eng Premier League,28-315,1997,12.2,1,1,0,10,5,1,13,14,21,0
39,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,25.0,2000,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,1,es ESP,GK,es La Liga,25-123,2000,18,18,1620,18.0,30,1.67,79,52,65.8,3,7,8,4,22.2,4,3,1,0,39,es ESP,GK,es La Liga,25-123,2000,18.0,0,0,0,,0.00,0.00,,,0,0,46,es ESP,GK,es La Liga,25-123,2000,18,1620,90,54.5,18.0,18,90,18,0,,0,0.89,17,30,-13,-0.72,-0.86,39,es ESP,GK,es La Liga,25-123,2000,18.0,1,0,0,0,1,0,0,0,1,0
40,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,24.0,2002,29,27,2327,25.9,1,2,3,1,0,0,11,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,40,fr FRA,MF,es La Liga,24-078,2002,25.9,1,12,2,16.7,0.46,0.08,0.08,0.50,0,0,47,fr FRA,MF,es La Liga,24-078,2002,29,2327,80,78.4,25.9,27,85,18,2,21,1,1.07,35,44,-9,-0.35,+0.49,40,fr FRA,MF,es La Liga,24-078,2002,25.9,11,0,0,49,13,8,17,41,33,0
41,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,26.0,1999,11,9,744,8.3,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,41,ng NGA,"DF,MF",de Bundesliga,26-213,1999,8.3,0,2,1,50.0,0.24,0.12,0.00,0.00,0,0,49,ng NGA,"DF,MF",de Bundesliga,26-213,1999,11,744,68,26.7,8.3,9,76,4,2,30,2,0.91,11,19,-8,-0.97,-0.53,41,ng NGA,"DF,MF",de Bundesliga,26-213,1999,8.3,1,0,0,8,14,3,14,11,14,0
42,Diego Aguado,es ESP,DF,Real Madrid,es La Liga,19.0,2007,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,42,es ESP,DF,es La Liga,19-080,2007,0.3,0,0,0,,0.00,0.00,,,0,0,50,es ESP,DF,es La Liga,19-080,2007,1,30,30,1.0,0.3,0,,0,1,30,4,3.00,2,1,+1,+3.00,+1.90,42,es ESP,DF,es La Liga,19-080,2007,0.3,0,0,0,0,0,0,0,0,1,0
43,Marc Aguado,es ESP,MF,Elche,es La Liga,26.0,2000,30,25,2077,23.1,1,2,3,1,0,0,2,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,43,es ESP,MF,es La Liga,26-065,2000,23.1,1,2,1,50.0,0.09,0.04,0.50,1.00,0,0,51,es ESP,MF,es La Liga,26-065,2000,30,2077,69,69.9,23.1,25,79,7,5,21,0,1.03,28,32,-4,-0.17,+0.03,43,es ESP,MF,es La Liga,26-065,2000,23.1,2,0,0,19,23,0,2,36,24,0
44,Pablo Agudín,es ESP,MF,Oviedo,es La Liga,18.0,2007,6,0,78,0.9,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,44,es ESP,MF,es La Liga,18-171,2007,0.9,0,2,0,0.0,2.31,0.00,0.00,,0,0,52,es ESP,MF,es La Liga,18-171,2007,6,78,13,2.6,0.9,0,,0,6,13,17,0.50,0,2,-2,-2.31,-1.59,44,es ESP,MF,es La Liga,18-171,2007,0.9,0,0,0,3,1,0,1,0,0,0
45,Nayef Aguerd,ma MAR,DF,West Ham United,eng Premier League,30.0,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,45,ma MAR,DF,eng Premier League,30-029,1996,2.0,0,2,0,0.0,1.00,0.00,0.00,,0,0,53,ma MAR,DF,eng Premier League,30-029,1996,2,180,90,5.9,2.0,2,90,2,0,,0,0.00,1,8,-7,-3.50,-3.22,45,ma MAR,DF,eng Premier League,30-029,1996,2.0,0,0,0,0,1,0,2,1,0,0
